sentence_id,token_id,word,left_edge,right_edge,tag,tag_equiv,depth,stem
63,2,a,5,6,DT,DT,6,a
63,3,friend,6,12,NN,NN,6,friend
63,4,whose,12,17,WP$,WP,5,whose
63,5,wife,17,21,NNS,NN,5,wife
63,6,received,21,29,VBD,VB,4,receiv
63,7,a,29,30,DT,DT,2,a
63,8,diagnosis,30,39,NN,NN,2,diagnosi
63,9,of,39,41,IN,IN,2,of
63,10,a,41,42,DT,DT,1,a
63,11,fatal,42,47,JJ,JJ,1,fatal
63,12,foetal,47,53,JJ,JJ,1,foetal
63,13,abnormality,53,64,NN,NN,1,abnorm
63,14,.,64,65,.,.,9,.
64,0,They,0,4,PRP,WP,5,Thei
64,1,wanted,4,10,VBD,VB,5,want
64,2,to,10,12,TO,TO,3,to
64,3,have,12,16,VB,VB,2,have
64,4,this,16,20,DT,DT,1,thi
64,5,child,20,25,NN,NN,1,child
64,6,.,25,26,.,.,6,.
65,0,They,0,4,PRP,WP,11,Thei
65,1,kicked,4,10,VBD,VB,11,kick
65,2,the,10,13,DT,DT,8,the
65,3,sand,13,17,NN,NN,8,sand
65,4,up,17,19,RB,RB,7,up
65,5,and,19,22,CC,CC,7,and
65,6,down,22,26,RB,RB,7,down
65,7,Garryvoe,26,34,VBP,VB,8,Garryvo
65,8,beach,34,39,NN,NN,6,beach
65,9,for,39,42,IN,IN,6,for
65,10,weeks,42,47,NNS,NN,4,week
65,11,on,47,49,IN,IN,4,on
65,12,end,49,52,NN,NN,2,end
65,13,because,52,59,RB,RB,2,becaus
65,14,of,59,61,IN,IN,2,of
65,15,that,61,65,DT,DT,1,that
65,16,diagnosis,65,74,NN,NN,1,diagnosi
65,17,wondering,74,83,VBG,VB,6,wonder
65,18,what,83,87,WP,WP,4,what
65,19,they,87,91,PRP,WP,3,thei
65,20,would,91,96,MD,MD,3,would
65,21,do,96,98,VB,VB,2,do
65,22,.,98,99,.,.,12,.
66,0,Would,0,5,MD,MD,7,Would
66,1,she,5,8,PRP,WP,6,she
66,2,continue,8,16,VB,VB,6,continu
66,3,with,16,20,IN,IN,4,with
66,4,the,20,23,DT,DT,3,the
66,5,pregnancy,23,32,NN,NN,3,pregnanc
66,6,or,32,34,CC,CC,5,or
66,7,would,34,39,MD,MD,3,would
66,8,she,39,42,PRP,WP,2,she
66,9,have,42,46,VB,VB,2,have
66,10,it,46,48,PRP,WP,1,it
66,11,terminated,48,58,VB,VB,3,termin
66,12,?,58,59,.,.,7,?
